portfolio,horizon_yr,metric,p05,p25,p50,p75,p95,mean
Full (all 7) | Inverse-vol,25,cagr,0.04382759090779179,0.06538518027897,0.08073928961383925,0.0959704802212345,0.11821645300646887,0.08082035147262268
Full (all 7) | Inverse-vol,25,vol,0.10778600650156894,0.11333633771414249,0.11812589177844607,0.12342444880057656,0.13192099443699404,0.1187367660031932
Full (all 7) | Inverse-vol,25,sharpe,0.405432546259215,0.5861169728256603,0.7143293465115039,0.849084133977791,1.0421416339928211,0.7191101557921978
Full (all 7) | Inverse-vol,25,mdd,-0.4076732556142875,-0.31807535860656005,-0.27327285814451074,-0.24296731169245905,-0.18456326364822695,-0.2827835985910871
Full (all 7) | Inverse-vol,25,underperf,0.0,0.0,0.0,1.0,1.0,0.3385
Full (all 7) | Inverse-vol,25,dd_30,0.0,0.0,0.0,1.0,1.0,0.3333
Full (all 7) | Inverse-vol,25,dd_40,0.0,0.0,0.0,0.0,1.0,0.0588
Full (all 7) | Inverse-vol,25,dd_50,0.0,0.0,0.0,0.0,0.0,0.0057
Full (all 7) | Inverse-vol,5,cagr,-0.002404110936272768,0.046991547938471656,0.0813002277094349,0.1142819117627083,0.16289962893963583,0.08081747987339215
Full (all 7) | Inverse-vol,5,vol,0.0996798584128147,0.10691180155354475,0.11370032038430203,0.126168639094848,0.14815539352906687,0.1180516865799986
Full (all 7) | Inverse-vol,5,sharpe,0.048227245409938856,0.4375874492058456,0.7308872214126559,1.0228660623416592,1.4565818552868246,0.7380505482817517
Full (all 7) | Inverse-vol,5,mdd,-0.3117797281284018,-0.2308584253779174,-0.1699775948032117,-0.12795387828430843,-0.09516219655167076,-0.1841093807038987
Full (all 7) | Inverse-vol,5,underperf,0.0,0.0,0.0,1.0,1.0,0.4316
Full (all 7) | Inverse-vol,5,dd_30,0.0,0.0,0.0,0.0,1.0,0.0651
Full (all 7) | Inverse-vol,5,dd_40,0.0,0.0,0.0,0.0,0.0,0.0079
Full (all 7) | Inverse-vol,5,dd_50,0.0,0.0,0.0,0.0,0.0,0.0005
